Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
08/01/2018,"29536","19342","13213","16323","35665"
08/02/2018,"37262","19109","18897","18365","37474"
08/03/2018,"35149","8049","21915","13234","21283"
08/04/2018,"33750","22604","15801","17949","40553"
08/05/2018,"32679","28510","13959","18720","47230"
08/06/2018,"43218","13903","23341","19877","33780"
08/07/2018,"54647","11480","26705","27942","39422"
08/08/2018,"48871","16176","23369","25502","41678"
08/09/2018,"37341","24310","19062","18279","42589"
08/10/2018,"28440","28950","14412","14028","42978"
08/11/2018,"15355","14056","9739","5616","19672"
08/12/2018,"25008","18566","12946","12062","30628"
08/13/2018,"28451","10167","13709","14742","24909"
08/14/2018,"21599","21561","12155","9444","31005"
08/15/2018,"31936","32931","19087","12849","45780"
08/16/2018,"9011","32407","3435","5576","37983"
08/17/2018,"8676","30298","3735","4941","35239"
08/18/2018,"8563","25382","3825","4738","30120"
08/19/2018,"7913","4191","4168","3745","7936"
08/20/2018,"7863","14525","3800","4063","18588"
08/21/2018,"7658","14674","3864","3794","18468"
08/22/2018,"18856","30617","11090","7766","38383"
08/23/2018,"26212","35181","14489","11723","46904"
08/24/2018,"24035","36470","12816","11219","47689"
08/25/2018,"23072","28784","13021","10051","38835"
08/26/2018,"32619","26345","17294","15325","41670"
08/27/2018,"32004","23975","13361","18643","42618"
08/28/2018,"45464","18571","20089","25375","43946"
08/29/2018,"59508","11092","27235","32273","43365"
08/30/2018,"58198","12853","30537","27661","40514"
08/31/2018,"24965","50","21013","3952","4002"
