Time,System Production (Wh)
08/01/2021,"20158"
08/02/2021,"44553"
08/03/2021,"30180"
08/04/2021,"20371"
08/05/2021,"41256"
08/06/2021,"43593"
08/07/2021,"37098"
08/08/2021,"37926"
08/09/2021,"33556"
08/10/2021,"31666"
08/11/2021,"41926"
08/12/2021,"44901"
08/13/2021,"43910"
08/14/2021,"40785"
08/15/2021,"45164"
08/16/2021,"23096"
08/17/2021,"27125"
08/18/2021,"34482"
08/19/2021,"35143"
08/20/2021,"22351"
08/21/2021,"19264"
08/22/2021,"11521"
08/23/2021,"24450"
08/24/2021,"42255"
08/25/2021,"42245"
08/26/2021,"35668"
08/27/2021,"31173"
08/28/2021,"10512"
08/29/2021,"16729"
08/30/2021,"31787"
08/31/2021,"26490"
