Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
12/01/2018,"20224","12264","12621","7603","19867"
12/02/2018,"15884","383","14141","1743","2126"
12/03/2018,"24019","13169","17032","6987","20156"
12/04/2018,"27909","15524","18681","9228","24752"
12/05/2018,"33208","1661","27769","5439","7100"
12/06/2018,"32449","9906","24442","8007","17913"
12/07/2018,"29994","24442","20205","9789","34231"
12/08/2018,"28981","13093","18296","10685","23778"
12/09/2018,"44757","961","38066","6691","7652"
12/10/2018,"31954","22429","21571","10383","32812"
12/11/2018,"26227","21801","15307","10920","32721"
12/12/2018,"23056","16881","13340","9716","26597"
12/13/2018,"39675","4502","33491","6184","10686"
12/14/2018,"23612","999","20657","2955","3954"
12/15/2018,"28297","222","26662","1635","1857"
12/16/2018,"39194","105","37428","1766","1871"
12/17/2018,"29849","6354","21329","8520","14874"
12/18/2018,"35485","23271","24702","10783","34054"
12/19/2018,"46820","7179","33215","13605","20784"
12/20/2018,"47869","222","43898","3971","4193"
12/21/2018,"35367","671","31325","4042","4713"
12/22/2018,"29638","1791","23167","6471","8262"
12/23/2018,"41560","21026","32117","9443","30469"
12/24/2018,"18865","8858","13215","5650","14508"
12/25/2018,"40258","3910","23807","16451","20361"
12/26/2018,"32740","20984","24957","7783","28767"
12/27/2018,"34256","16820","24255","10001","26821"
12/28/2018,"37750","1","36435","1315","1316"
12/29/2018,"25336","20463","16432","8904","29367"
12/30/2018,"37472","8082","30300","7172","15254"
12/31/2018,"57365","27","53316","4049","4076"
