Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
04/01/2018,"10859","19292","4411","6448","25740"
04/02/2018,"18825","14186","11871","6954","21140"
04/03/2018,"19966","1827","15499","4467","6294"
04/04/2018,"21498","11569","11110","10388","21957"
04/05/2018,"17896","38470","8619","9277","47747"
04/06/2018,"7538","28484","3064","4474","32958"
04/07/2018,"5723","21602","2428","3295","24897"
04/08/2018,"13161","49456","7621","5540","54996"
04/09/2018,"17482","30222","9958","7524","37746"
04/10/2018,"23025","31118","10936","12089","43207"
04/11/2018,"15501","34415","7418","8083","42498"
04/12/2018,"16827","25833","9037","7790","33623"
04/13/2018,"9522","40495","3392","6130","46625"
04/14/2018,"14860","39959","4831","10029","49988"
04/15/2018,"21747","1507","16446","5301","6808"
04/16/2018,"22354","6444","13132","9222","15666"
04/17/2018,"23803","8851","13602","10201","19052"
04/18/2018,"9302","49201","3034","6268","55469"
04/19/2018,"6888","7783","3186","3702","11485"
04/20/2018,"9929","50056","3343","6586","56642"
04/21/2018,"8869","45184","3269","5600","50784"
04/22/2018,"9056","47632","3128","5928","53560"
04/23/2018,"14392","45527","6712","7680","53207"
04/24/2018,"17762","22785","11248","6514","29299"
04/25/2018,"13848","7871","8177","5671","13542"
04/26/2018,"17989","42899","7955","10034","52933"
04/27/2018,"11197","4588","6945","4252","8840"
04/28/2018,"14050","38702","5980","8070","46772"
04/29/2018,"15453","23799","6501","8952","32751"
04/30/2018,"17089","23171","9030","8059","31230"
