Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
03/01/2018,"17206","6194","12360","4846","11040"
03/02/2018,"22798","0","20147","2651","2617"
03/03/2018,"22035","26287","10367","11668","37955"
03/04/2018,"23737","27629","13011","10726","38355"
03/05/2018,"24281","29773","12816","11465","41238"
03/06/2018,"17464","33873","9121","8343","42216"
03/07/2018,"18743","64","17966","777","841"
03/08/2018,"15513","25065","9245","6268","31333"
03/09/2018,"18483","24998","10939","7544","32542"
03/10/2018,"24162","29633","9895","14267","43900"
03/11/2018,"20392","40323","9388","11004","51327"
03/12/2018,"23928","7868","12066","11862","19730"
03/13/2018,"25888","16612","14010","11878","28490"
03/14/2018,"21820","14096","6462","15358","29454"
03/15/2018,"20769","20250","10644","10125","30375"
03/16/2018,"18066","29499","9235","8831","38330"
03/17/2018,"19064","26401","7540","11524","37925"
03/18/2018,"21106","41739","10272","10834","52573"
03/19/2018,"20590","36733","9811","10779","47512"
03/20/2018,"17184","1203","13599","3585","4788"
03/21/2018,"20513","0","20007","506","382"
03/22/2018,"17142","33310","9007","8135","41445"
03/23/2018,"22145","38688","9318","12827","51515"
03/24/2018,"16932","40318","3383","13549","53867"
03/25/2018,"24982","14311","10796","14186","28497"
03/26/2018,"22208","41222","9462","12746","53968"
03/27/2018,"21269","14579","9712","11557","26136"
03/28/2018,"13681","8026","7944","5737","13763"
03/29/2018,"10887","31151","4488","6399","37550"
03/30/2018,"16570","8069","11057","5513","13582"
03/31/2018,"22124","43908","11569","10555","54463"
