Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
11/01/2018,"15210","21997","8942","6268","28265"
11/02/2018,"18351","1277","14421","3930","5207"
11/03/2018,"17622","26669","11350","6272","32941"
11/04/2018,"21852","31326","13460","8392","39718"
11/05/2018,"19035","700","16661","2374","3074"
11/06/2018,"17538","323","15673","1865","2188"
11/07/2018,"17024","16595","10197","6827","23422"
11/08/2018,"21486","28608","13309","8177","36785"
11/09/2018,"20297","1200","17429","2868","4068"
11/10/2018,"23646","22119","13974","9672","31791"
11/11/2018,"20864","30542","12540","8324","38866"
11/12/2018,"17742","14074","11242","6500","20574"
11/13/2018,"22004","1164","18040","3964","5128"
11/14/2018,"22075","18161","10850","11225","29386"
11/15/2018,"20080","2","19212","868","870"
11/16/2018,"20325","11323","13494","6831","18154"
11/17/2018,"19571","9872","10028","9543","19415"
11/18/2018,"17147","9646","13149","3998","13644"
11/19/2018,"14484","17670","10235","4249","21919"
11/20/2018,"19656","2990","13806","5850","8840"
11/21/2018,"17987","20548","13029","4958","25506"
11/22/2018,"15743","29647","6003","9740","39387"
11/23/2018,"19942","28798","11044","8898","37696"
11/24/2018,"24361","1033","18739","5622","6655"
11/25/2018,"19110","21628","11834","7276","28904"
11/26/2018,"22507","584","19593","2914","3498"
11/27/2018,"22620","5494","16856","5764","11258"
11/28/2018,"20801","8157","13212","7589","15746"
11/29/2018,"19751","16205","11862","7889","24094"
11/30/2018,"19994","2697","16579","3415","6112"
