Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
10/01/2018,"15838","23743","10299","5539","29282"
10/02/2018,"10609","21897","5405","5204","27101"
10/03/2018,"11055","32812","5795","5260","38072"
10/04/2018,"18519","25073","10611","7908","32981"
10/05/2018,"25157","3822","16223","8934","12756"
10/06/2018,"20096","857","15537","4559","5416"
10/07/2018,"9788","13251","5720","4068","17319"
10/08/2018,"10723","1783","7377","3346","5129"
10/09/2018,"17766","9962","8513","9253","19215"
10/10/2018,"32712","19791","21053","11659","31450"
10/11/2018,"37027","5663","30370","6657","12320"
10/12/2018,"27068","31227","16277","10791","42018"
10/13/2018,"23029","9690","14719","8310","18000"
10/14/2018,"22821","4171","16131","6690","10861"
10/15/2018,"29422","362","25348","4074","4436"
10/16/2018,"25481","26890","18291","7190","34080"
10/17/2018,"26685","28613","18836","7849","36462"
10/18/2018,"22008","22958","9121","12887","35845"
10/19/2018,"14115","25302","7155","6960","32262"
10/20/2018,"17993","14220","11401","6592","20812"
10/21/2018,"27699","19441","17351","10348","29789"
10/22/2018,"19616","32161","13648","5968","38129"
10/23/2018,"16498","27081","8278","8220","35301"
10/24/2018,"19949","27825","12635","7314","35139"
10/25/2018,"18867","33164","12377","6490","39654"
10/26/2018,"19576","7507","12084","7492","14999"
10/27/2018,"23080","3763","17997","5083","8846"
10/28/2018,"23431","6634","18416","5015","11649"
10/29/2018,"18662","8265","12749","5913","14178"
10/30/2018,"17904","34172","11093","6811","40983"
10/31/2018,"19230","29105","12676","6554","35659"
