Time,System Production (Wh)
04/01/2021,"33640"
04/02/2021,"34455"
04/03/2021,"44865"
04/04/2021,"43918"
04/05/2021,"45625"
04/06/2021,"46946"
04/07/2021,"37422"
04/08/2021,"46888"
04/09/2021,"21397"
04/10/2021,"26222"
04/11/2021,"6825"
04/12/2021,"11543"
04/13/2021,"47045"
04/14/2021,"22560"
04/15/2021,"10297"
04/16/2021,"25211"
04/17/2021,"21894"
04/18/2021,"28850"
04/19/2021,"26127"
04/20/2021,"46426"
04/21/2021,"30549"
04/22/2021,"35353"
04/23/2021,"48809"
04/24/2021,"37670"
04/25/2021,"26716"
04/26/2021,"51227"
04/27/2021,"47738"
04/28/2021,"40625"
04/29/2021,"18164"
04/30/2021,"35873"
