Time,System Production (Wh)
12/01/2021,"22631"
12/02/2021,"10213"
12/03/2021,"20130"
12/04/2021,"5993"
12/05/2021,"19736"
12/06/2021,"13353"
12/07/2021,"20914"
12/08/2021,"8381"
12/09/2021,"14953"
12/10/2021,"13018"
12/11/2021,"3951"
12/12/2021,"22567"
12/13/2021,"22379"
12/14/2021,"21875"
12/15/2021,"15023"
12/16/2021,"18768"
12/17/2021,"21205"
12/18/2021,"2798"
12/19/2021,"10524"
12/20/2021,"22793"
12/21/2021,"9359"
12/22/2021,"20916"
12/23/2021,"20864"
12/24/2021,"14978"
12/25/2021,"4844"
12/26/2021,"21730"
12/27/2021,"4446"
12/28/2021,"6316"
12/29/2021,"4680"
12/30/2021,"9535"
12/31/2021,"3262"
