Time,System Production (Wh)
02/01/2021,"0"
02/02/2021,"0"
02/03/2021,"8"
02/04/2021,"1871"
02/05/2021,"19214"
02/06/2021,"22854"
02/07/2021,"186"
02/08/2021,"2943"
02/09/2021,"949"
02/10/2021,"4373"
02/11/2021,"115"
02/12/2021,"133"
02/13/2021,"80"
02/14/2021,"705"
02/15/2021,"3250"
02/16/2021,"22723"
02/17/2021,"34047"
02/18/2021,"0"
02/19/2021,"0"
02/20/2021,"0"
02/21/2021,"5621"
02/22/2021,"2729"
02/23/2021,"13514"
02/24/2021,"38812"
02/25/2021,"40049"
02/26/2021,"29353"
02/27/2021,"17410"
02/28/2021,"6178"
