Time,System Production (Wh)
01/01/2021,"6522"
01/02/2021,"15062"
01/03/2021,"1881"
01/04/2021,"9297"
01/05/2021,"5484"
01/06/2021,"21401"
01/07/2021,"24691"
01/08/2021,"9154"
01/09/2021,"17284"
01/10/2021,"25566"
01/11/2021,"9213"
01/12/2021,"24402"
01/13/2021,"19971"
01/14/2021,"15797"
01/15/2021,"8459"
01/16/2021,"12123"
01/17/2021,"16762"
01/18/2021,"18554"
01/19/2021,"19651"
01/20/2021,"20822"
01/21/2021,"17418"
01/22/2021,"22851"
01/23/2021,"29526"
01/24/2021,"24373"
01/25/2021,"12312"
01/26/2021,"3313"
01/27/2021,"9638"
01/28/2021,"30965"
01/29/2021,"31629"
01/30/2021,"32522"
01/31/2021,"4125"
