Time,System Production (Wh)
06/01/2021,"38947"
06/02/2021,"36439"
06/03/2021,"24207"
06/04/2021,"31327"
06/05/2021,"50588"
06/06/2021,"49164"
06/07/2021,"33981"
06/08/2021,"26773"
06/09/2021,"36008"
06/10/2021,"50047"
06/11/2021,"13939"
06/12/2021,"30006"
06/13/2021,"23481"
06/14/2021,"30666"
06/15/2021,"45109"
06/16/2021,"50873"
06/17/2021,"53189"
06/18/2021,"48875"
06/19/2021,"31619"
06/20/2021,"44696"
06/21/2021,"40558"
06/22/2021,"12414"
06/23/2021,"45194"
06/24/2021,"53097"
06/25/2021,"48807"
06/26/2021,"36494"
06/27/2021,"45186"
06/28/2021,"46136"
06/29/2021,"32817"
06/30/2021,"47869"
