Time,System Production (Wh)
10/01/2021,"38789"
10/02/2021,"36358"
10/03/2021,"31273"
10/04/2021,"20959"
10/05/2021,"9397"
10/06/2021,"11109"
10/07/2021,"25529"
10/08/2021,"25473"
10/09/2021,"12115"
10/10/2021,"11350"
10/11/2021,"17156"
10/12/2021,"8986"
10/13/2021,"10108"
10/14/2021,"30904"
10/15/2021,"31404"
10/16/2021,"27102"
10/17/2021,"25557"
10/18/2021,"17816"
10/19/2021,"35354"
10/20/2021,"33230"
10/21/2021,"32443"
10/22/2021,"27493"
10/23/2021,"16693"
10/24/2021,"19893"
10/25/2021,"20769"
10/26/2021,"12750"
10/27/2021,"6787"
10/28/2021,"25522"
10/29/2021,"10039"
10/30/2021,"17195"
10/31/2021,"19834"
