Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
02/01/2018,"18260","3104","11661","6599","9703"
02/02/2018,"30400","3180","21439","8961","12141"
02/03/2018,"22604","28755","9449","13155","41910"
02/04/2018,"23827","1818","19848","3979","5797"
02/05/2018,"18317","33998","10062","8255","42253"
02/06/2018,"15011","5437","11278","3733","9170"
02/07/2018,"20312","41","18642","1670","1711"
02/08/2018,"22480","29841","10673","11807","41648"
02/09/2018,"18550","12794","11346","7204","19998"
02/10/2018,"21495","1928","17365","4130","6058"
02/11/2018,"13942","322","11419","2523","2845"
02/12/2018,"17783","14356","12150","5633","19989"
02/13/2018,"18573","36130","10373","8200","44330"
02/14/2018,"22315","27078","12069","10246","37324"
02/15/2018,"18052","9531","11223","6829","16360"
02/16/2018,"19060","2844","15188","3872","6716"
02/17/2018,"20129","24350","13467","6662","31012"
02/18/2018,"17614","35695","10906","6708","42403"
02/19/2018,"18618","5279","13658","4960","10239"
02/20/2018,"12374","27104","6892","5482","32586"
02/21/2018,"15736","25463","9406","6330","31793"
02/22/2018,"21982","63","19596","2386","2449"
02/23/2018,"20514","575","15922","4592","5167"
02/24/2018,"22868","3580","19246","3622","7202"
02/25/2018,"18212","1234","14878","3334","4568"
02/26/2018,"19562","7127","10460","9102","16229"
02/27/2018,"19708","39702","12136","7572","47274"
02/28/2018,"19349","34244","8834","10515","44759"
03/01/2018,"17206","6194","12360","4846","11040"
