Time,System Production (Wh)
07/01/2021,"22112"
07/02/2021,"25816"
07/03/2021,"27981"
07/04/2021,"38378"
07/05/2021,"45327"
07/06/2021,"44873"
07/07/2021,"45312"
07/08/2021,"31283"
07/09/2021,"39213"
07/10/2021,"33886"
07/11/2021,"37495"
07/12/2021,"19533"
07/13/2021,"21449"
07/14/2021,"39791"
07/15/2021,"40162"
07/16/2021,"45225"
07/17/2021,"40176"
07/18/2021,"31011"
07/19/2021,"41346"
07/20/2021,"36959"
07/21/2021,"35275"
07/22/2021,"39356"
07/23/2021,"44248"
07/24/2021,"39925"
07/25/2021,"31334"
07/26/2021,"43715"
07/27/2021,"40381"
07/28/2021,"38285"
07/29/2021,"15776"
07/30/2021,"44371"
07/31/2021,"50164"
