Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
06/01/2018,"21443","20326","10603","10840","31166"
06/02/2018,"21431","15396","10693","10738","26134"
06/03/2018,"24247","14849","14295","9952","24801"
06/04/2018,"18158","35147","8187","9971","45118"
06/05/2018,"19589","32950","9761","9828","42778"
06/06/2018,"20297","26844","10684","9613","36457"
06/07/2018,"17753","33912","8007","9746","43658"
06/08/2018,"17793","30856","8012","9781","40637"
06/09/2018,"18174","24804","8916","9258","34062"
06/10/2018,"17443","9389","9974","7469","16858"
06/11/2018,"21742","26900","9106","12636","39536"
06/12/2018,"20617","41736","10769","9848","51584"
06/13/2018,"19820","14999","10433","9387","24386"
06/14/2018,"18338","41066","8898","9440","50506"
06/15/2018,"17279","38968","8566","8713","47681"
06/16/2018,"17579","40439","8131","9448","49887"
06/17/2018,"25637","34176","11650","13987","48163"
06/18/2018,"30910","27925","12469","18441","46366"
06/19/2018,"27905","23045","12673","15232","38277"
06/20/2018,"18975","26883","8851","10124","37007"
06/21/2018,"19837","23157","8224","11613","34770"
06/22/2018,"16342","9733","8150","8192","17925"
06/23/2018,"21647","3402","13619","8028","11430"
06/24/2018,"22827","28380","10566","12261","40641"
06/25/2018,"13469","42865","6494","6975","49840"
06/26/2018,"15839","34165","6284","9555","43720"
06/27/2018,"5136","1700","2515","2621","4321"
06/28/2018,"25390","27940","10169","15221","43161"
06/29/2018,"35508","28663","17123","18385","47048"
06/30/2018,"33462","30020","16705","16757","46777"
