Time,System Production (Wh)
03/01/2021,"9174"
03/02/2021,"42072"
03/03/2021,"39873"
03/04/2021,"29213"
03/05/2021,"42807"
03/06/2021,"16080"
03/07/2021,"42322"
03/08/2021,"41928"
03/09/2021,"36859"
03/10/2021,"40207"
03/11/2021,"38356"
03/12/2021,"34697"
03/13/2021,"43592"
03/14/2021,"42086"
03/15/2021,"43080"
03/16/2021,"9957"
03/17/2021,"12345"
03/18/2021,"3885"
03/19/2021,"44729"
03/20/2021,"44441"
03/21/2021,"44076"
03/22/2021,"44752"
03/23/2021,"38973"
03/24/2021,"8459"
03/25/2021,"14215"
03/26/2021,"39047"
03/27/2021,"35660"
03/28/2021,"9236"
03/29/2021,"47135"
03/30/2021,"45814"
03/31/2021,"14620"
