Time,System Production (Wh)
05/01/2021,"51428"
05/02/2021,"40275"
05/03/2021,"13926"
05/04/2021,"40547"
05/05/2021,"16438"
05/06/2021,"43093"
05/07/2021,"37051"
05/08/2021,"31062"
05/09/2021,"6963"
05/10/2021,"28594"
05/11/2021,"34803"
05/12/2021,"43404"
05/13/2021,"46322"
05/14/2021,"43575"
05/15/2021,"41330"
05/16/2021,"31713"
05/17/2021,"18631"
05/18/2021,"50646"
05/19/2021,"48725"
05/20/2021,"49726"
05/21/2021,"48793"
05/22/2021,"35640"
05/23/2021,"41719"
05/24/2021,"27516"
05/25/2021,"45316"
05/26/2021,"37332"
05/27/2021,"45983"
05/28/2021,"20425"
05/29/2021,"9463"
05/30/2021,"8200"
05/31/2021,"42869"
