Time,System Production (Wh)
11/01/2021,"31766"
11/02/2021,"8855"
11/03/2021,"27852"
11/04/2021,"23732"
11/05/2021,"29766"
11/06/2021,"0"
11/07/2021,"10418"
11/08/2021,"27349"
11/09/2021,"25609"
11/10/2021,"26596"
11/11/2021,"18367"
11/12/2021,"12205"
11/13/2021,"11754"
11/14/2021,"13946"
11/15/2021,"8892"
11/16/2021,"26155"
11/17/2021,"22767"
11/18/2021,"23313"
11/19/2021,"22664"
11/20/2021,"20826"
11/21/2021,"11189"
11/22/2021,"7469"
11/23/2021,"20510"
11/24/2021,"24816"
11/25/2021,"20487"
11/26/2021,"13894"
11/27/2021,"22602"
11/28/2021,"12711"
11/29/2021,"17107"
11/30/2021,"6303"
